Ё,2
А,1287
Б,1754
В,549
Г,1044
Д,800
Е,105
Ж,423
З,896
И,367
Й,4
К,2410
Л,732
М,1350
Н,495
О,835
П,2090
Р,607
С,1903
Т,1048
У,280
Ф,200
Х,296
Ц,240
Ч,727
Ш,289
Щ,160
Э,234
Ю,147
Я,224
